#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
RMRP	6023	9p13.3	chr9:35657751-35658018	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
RNASEH2A	10535	19p13.13	chr19:12802054-12813648	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610333	
RNF135	84282	17q11.2	chr17:30968642-30999911	2	Some evidence for dosage pathogenicity	17632510			0	No evidence available				2013-02-27		
RNF168	165918	3q29	chr3:196468783-196503768	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	611943	
ROBO1	6091	3p12.3	chr3:78597238-79767998	0	No evidence available	16254601			0	No evidence available				2018-09-25		
ROBO3	64221	11q24.2	chr11:124865409-124881474	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607313	
ROGDI	79641	16p13.3	chr16:4796962-4802950	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-02-12	226750	
ROR2	4920	9q22.31	chr9:91722596-91950206	0	No evidence available				0	No evidence available				2013-03-27		
RP2	6102	Xp11.3	chrX:46836912-46882358	3	Sufficient evidence for dosage pathogenicity	16969763	9697692	10090907	0	No evidence available				2012-10-04	312600	
RPGRIP1	57096	14q11.2	chr14:21287977-21351316	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
RPH3A	22895	12q24.13	chr12:112575097-112898881	1	Little evidence for dosage pathogenicity	28263302	22083728		0	No evidence available				2018-07-25		
RPL10	6134	Xq28	chrX:154398065-154402339	0	No evidence available				0	No evidence available				2018-10-24		
RPL15	6138	3p24.2	chr3:23916804-23923696	1	Little evidence for dosage pathogenicity	23812780			0	No evidence available				2014-07-16		
RPS17	6218	15q25.2	chr15:82536750-82540544	3	Sufficient evidence for dosage pathogenicity	23812780	20378560	17647292	0	No evidence available				2015-12-10	612527	
RPS19	6223	19q13.2	chr19:41859918-41871416	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-10	105650	
RPS24	6229	10q22.3	chr10:78033760-78056813	3	Sufficient evidence for dosage pathogenicity	23812780	17186470		0	No evidence available				2019-10-23	610629	
RPS26	6231	12q13.2	chr12:56041902-56044223	3	Sufficient evidence for dosage pathogenicity	23812780			0	No evidence available				2019-10-23	613309	
RPS6KA3	6197	Xp22.12	chrX:20149911-20267514	3	Sufficient evidence for dosage pathogenicity	8955270	9837815		0	No evidence available				2012-08-09	303600	
RS1	6247	Xp22.13	chrX:18639688-18672103	3	Sufficient evidence for dosage pathogenicity	9326935	9618178		0	No evidence available				2012-06-14	312700	
RSPH1	89765	21q22.3	chr21:42472486-42496354	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615481	
RSPH4A	345895	6q22.1	chr6:116598184-116633051	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612649	
RSPO4	343637	20p13	chr20:958452-1002264	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	206800	
RTTN	25914	18q22.2	chr18:70003804-70205726	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614833	
RUNX1	861	21q22.12	chr21:34787801-35049334	3	Sufficient evidence for dosage pathogenicity	10508512	11830488		0	No evidence available				2012-08-14	601399	
RXFP2	122042	13q13.1	chr13:31739542-31802872	0	No evidence available				0	No evidence available				2012-07-06		
RYR1	6261	19q13.2	chr19:38433700-38587564	0	No evidence available				0	No evidence available				2015-11-12	117000,255320	
RYR2	6262	1q43	chr1:237042208-237833988	0	No evidence available				0	No evidence available				2015-11-05		
SACS	26278	13q12.12	chr13:23328823-23433728	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	270550	
SALL1	6299	16q12.1	chr16:51135975-51152386	3	Sufficient evidence for dosage pathogenicity	22308078	16429401		0	No evidence available				2012-04-26		
SALL4	57167	20q13.2	chr20:51782717-51802523	3	Sufficient evidence for dosage pathogenicity	12843316	12395297		0	No evidence available				2012-04-19	607323	
SAMD9	54809	7q21.2	chr7:93099513-93118023	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SATB2	23314	2q33.1	chr2:199269500-199471266	3	Sufficient evidence for dosage pathogenicity	17377962	19668335		0	No evidence available				2012-02-23	119540	
SBF2	81846	11p15.4	chr11:9778667-10294216	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	604563	
SCARB2	950	4q21.1	chr4:76158737-76213899	0	No evidence available				0	No evidence available				2012-07-06		
SCARF2	91179	22q11.21	chr22:20424584-20437859	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	600920	
SCN1A	6323	2q24.3	chr2:165989160-166149216	3	Sufficient evidence for dosage pathogenicity	11359211	11940708	18930999	0	No evidence available				2012-07-06	607208	
SCN1B	6324	19q13.11	chr19:35030688-35040449	0	No evidence available				0	No evidence available				2019-09-04		
SCN2A	6326	2q24.3	chr2:165208056-165392310	3	Sufficient evidence for dosage pathogenicity	22495306	15028761	28379373, 29655203	0	No evidence available				2020-04-22		
SCN5A	6331	3p22.2	chr3:38548061-38649673	2	Some evidence for dosage pathogenicity	19279983	17399644		0	No evidence available				2016-01-14		
SCN8A	6334	12q13.13	chr12:51589959-51812865	0	No evidence available				0	No evidence available				2013-04-11	614306	
SDCCAG8	10806	1q43-q44	chr1:243255328-243500092	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
SDHAF1	644096	19q13.12	chr19:35995188-35996318	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252011	
SDHAF2	54949	11q12.2	chr11:61430125-61446767	2	Some evidence for dosage pathogenicity	22241717	26096992		0	No evidence available				2016-01-14		
SDHC	6391	1q23.3	chr1:161314376-161364751	3	Sufficient evidence for dosage pathogenicity	19546167	15342702	17667967	0	No evidence available				2015-08-27	605373	
SDHD	6392	11q23.1	chr11:112086824-112095801	3	Sufficient evidence for dosage pathogenicity	10657297	12111639		0	No evidence available				2015-08-13	168000	
SEC23B	10483	20p11.23	chr20:18507544-18561415	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
SEM1	7979	7q21.3	chr7:96688767-96709891	0	No evidence available				0	No evidence available				2012-05-14	220600	
SEMA3A	10371	7q21.11	chr7:83956846-84492724	1	Little evidence for dosage pathogenicity	22416012			0	No evidence available				2017-08-07		
SEPSECS	51091	4p15.2	chr4:25120005-25160582	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613811	
SERAC1	84947	6q25.3	chr6:158109504-158168280	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614739	
SERPINA1	5265	14q32.13	chr14:94376747-94390692	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-05-09	613490	
SERPINB6	5269	6p25.2	chr6:2948159-2972165	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613453	
SERPINB7	8710	18q21.33	chr18:63753047-63805376	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-11-13	615598	
SERPINE1	5054	7q22.1	chr7:101127087-101139266	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613329	
SERPINF1	5176	17p13.3	chr17:1761925-1777574	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613892	
SETBP1	26040	18q12.3	chr18:44680173-45068510	3	Sufficient evidence for dosage pathogenicity	25217958	25356899		0	No evidence available				2018-05-23	616078	
SETD1A	9739	16p11.2	chr16:30956618-30984664	3	Sufficient evidence for dosage pathogenicity	24853937	26974950		0	No evidence available				2018-02-28		
SETD2	29072	3p21.31	chr3:47016408-47164109	2	Some evidence for dosage pathogenicity	24852293	26084711	27317772	0	No evidence available				2018-02-28	616831	
SETD5	55209	3p25.3	chr3:9397700-9478154	3	Sufficient evidence for dosage pathogenicity	25138099	24680889		0	No evidence available				2014-11-06	615761	
SF3B4	10262	1q21.2	chr1:149923317-149928252	3	Sufficient evidence for dosage pathogenicity	22541558	23568615	24003905	0	No evidence available				2014-07-17	154400	
SGCE	8910	7q21.3	chr7:94585224-94656209	3	Sufficient evidence for dosage pathogenicity	18205193			0	No evidence available				2012-05-17	159900	
SGCG	6445	13q12.12	chr13:23160308-23325165	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	253700	
SGSH	6448	17q25.3	chr17:80200668-80220400	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-02-12	252900	
SH2B1	25970	16p11.2	chr16:28846600-28874213	2	Some evidence for dosage pathogenicity	23160192			0	No evidence available				2014-09-11		
SH2D1A	4068	Xq25	chrX:124346282-124373160	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	308240	
SH3TC2	79628	5q32	chr5:148982150-149063174	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SHANK1	50944	19q13.33	chr19:50659257-50719779	1	Little evidence for dosage pathogenicity	27824329			0	No evidence available				2019-03-27		
SHANK2	22941	11q13.3-q13.4	chr11:70467856-71252724	2	Some evidence for dosage pathogenicity	20473310	22346768	25560758	0	No evidence available				2018-01-24		
SHANK3	85358	22q13.33	chr22:50674642-50733212	3	Sufficient evidence for dosage pathogenicity	23758760	21984749	21779178	0	No evidence available				2018-08-14	606232	
SHH	6469	7q36.3	chr7:155799984-155812273	3	Sufficient evidence for dosage pathogenicity	20066439	19431187		1	Little evidence for dosage pathogenicity	19431187			2012-02-23	142945	
SHOC2	8036	10q25.2	chr10:110919370-111013667	0	No evidence available	24739123			0	No evidence available				2018-09-25		
SHOX	6473	Xp22.33 and Yp11.2	chrX:624344-659411	3	Sufficient evidence for dosage pathogenicity	11403039	12402330	11889216	0	No evidence available				2015-10-15	127300,300582	
SHROOM4	57477	Xp11.22	chrX:50575534-50814167	0	No evidence available				0	No evidence available				2012-10-10		
SI	6476	3q26.1	chr3:164978898-165078495	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	222900	
SIM1	6492	6q16.3	chr6:100385009-100464929	1	Little evidence for dosage pathogenicity	10587584			0	No evidence available				2012-04-25	601665	
SIN3A	25942	15q24.2	chr15:75369379-75455819	3	Sufficient evidence for dosage pathogenicity	27399968	30267900		0	No evidence available				2020-01-13	613406	
SIX1	6495	14q23.1	chr14:60644698-60649489	0	No evidence available				0	No evidence available				2012-03-22		
SIX3	6496	2p21	chr2:44941898-44946077	3	Sufficient evidence for dosage pathogenicity	19346217	20157829	16323008	0	No evidence available				2011-11-07	157170	
SIX4	51804	14q23.1	chr14:60709538-60724321	0	No evidence available				0	No evidence available				2012-05-08		
SIX6	4990	14q23.1	chr14:60509220-60511807	0	No evidence available				0	No evidence available				2012-03-22	606326	
SKI	6497	1p36.33-p36.32	chr1:2228695-2310213	0	No evidence available				0	No evidence available				2012-01-06		
SLC12A1	6557	15q21.1	chr15:48206301-48304078	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-04-28	601678	
SLC12A3	6559	16q13	chr16:56865207-56915850	30	Gene associated with autosomal recessive phenotype	21415153			0	No evidence available				2012-02-23	263800	
SLC13A5	284111	17p13.1	chr17:6684713-6713421	30	Gene associated with autosomal recessive phenotype	615905			0	No evidence available				2016-08-22		
SLC16A12	387700	10q23.31	chr10:89430294-89536028	1	Little evidence for dosage pathogenicity	18304496			0	No evidence available				2011-12-21	612018	
SLC16A2	6567	Xq13.2	chrX:74421493-74533929	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-06-28	300523	
SLC17A5	26503	6q13	chr6:73593378-73654014	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
SLC17A8	246213	12q23.1	chr12:100357079-100422059	2	Some evidence for dosage pathogenicity	26797701	28647561		0	No evidence available				2018-02-27		
SLC22A18	5002	11p15.4	chr11:2899721-2925246	0	No evidence available				0	No evidence available				2012-03-22		
SLC24A1	9187	15q22.31	chr15:65611405-65660995	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613830	
SLC25A1	6576	22q11.21	chr22:19175575-19178863	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615182	
SLC25A12	8604	2q31.1	chr2:171783405-171894306	0	No evidence available				0	No evidence available				2012-01-19		
SLC25A13	10165	7q21.3	chr7:96120220-96322147	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SLC25A19	60386	17q25.1	chr17:75272980-75289957	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
SLC2A1	6513	1p34.2	chr1:42925375-42959176	3	Sufficient evidence for dosage pathogenicity	10980529	25532859	25564316	0	No evidence available				2016-03-24	612126	
SLC2A10	81031	20q13.12	chr20:46708358-46736347	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-02-01	208050	
SLC30A10	55532	1q41	chr1:219910398-219959754	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613280	
SLC34A1	6569	5q35.3	chr5:177384431-177412021	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SLC34A2	10568	4p15.2	chr4:25655813-25678748	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	265100	
SLC35A2	7355	Xp11.23	chrX:48903180-48911958	3	Sufficient evidence for dosage pathogenicity	27743886	24115232	23561849	0	No evidence available				2018-01-24	300896	
SLC35C1	55343	11p11.2	chr11:45804072-45813016	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	266265	
SLC35D1	23169	1p31.3	chr1:66999332-67054397	30	Gene associated with autosomal recessive phenotype	19508970			0	No evidence available				2016-04-11	269250	
SLC37A4	2542	11q23.3	chr11:119024351-119030906	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
SLC38A5	92745	Xp11.23	chrX:48458537-48470256	0	No evidence available				0	No evidence available				2012-09-26		
SLC38A8	146167	16q23.3	chr16:84009667-84043372	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	609218	
SLC3A1	6519	2p21	chr2:44275458-44320824	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-03-21	220100	
SLC4A10	57282	2q24.2	chr2:161624335-161985276	1	Little evidence for dosage pathogenicity	17363630			0	No evidence available				2012-04-11		
SLC52A3	113278	20p13	chr20:760080-775985	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SLC5A1	6523	22q12.3	chr22:32043032-32113029	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	606824	
SLC6A1	6529	3p25.3	chr3:10992718-11039249	3	Sufficient evidence for dosage pathogenicity	23020937	25865495	28849312	0	No evidence available				2019-09-25	616421	
SLC6A3	6531	5p15.33	chr5:1392790-1445428	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SLC6A4	6532	17q11.2	chr17:30194319-30235968	0	No evidence available				0	No evidence available				2012-05-10		
SLC6A8	6535	Xq28	chrX:153688297-153696593	3	Sufficient evidence for dosage pathogenicity	11326334	16601897	20717164	0	No evidence available				2012-04-26	300352	
SLC7A7	9056	14q11.2	chr14:22773222-22819811	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	222700	
SLC9A6	10479	Xq26.3	chrX:135974597-136047269	3	Sufficient evidence for dosage pathogenicity	21812100	18342287	19377476	0	No evidence available				2012-04-26	300243	
SLURP1	57152	8q24.3	chr8:142740944-142742411	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-06-08	248300	
SMAD2	4087	18q21.1	chr18:47833095-47931193	0	No evidence available				0	No evidence available				2018-06-28		
SMAD3	4088	15q22.33	chr15:67065698-67195195	3	Sufficient evidence for dosage pathogenicity	30661052	29907982	29392890	0	No evidence available				2020-04-22	613795	
SMAD4	4089	18q21.2	chr18:51030213-51085042	3	Sufficient evidence for dosage pathogenicity	17873119	18178612	18823382	0	No evidence available				2012-04-19		
SMARCA2	6595	9p24.3	chr9:2015219-2193624	0	No evidence available				0	No evidence available				2013-03-27	601358	
SMARCA4	6597	19p13.2	chr19:10960922-11062282	2	Some evidence for dosage pathogenicity	20137775	23775540		0	No evidence available				2013-09-04	613325	
SMARCB1	6598	22q11.23|22q11	chr22:23786931-23834518	3	Sufficient evidence for dosage pathogenicity	21108436	29706634	18285426	0	No evidence available				2020-04-22	162091,609322	
SMC1A	8243	Xp11.22	chrX:53374149-53422728	3	Sufficient evidence for dosage pathogenicity	24896178	26386245	28166369	0	No evidence available				2018-07-23	300590	
SMOC1	64093	14q24.2	chr14:69879388-70032366	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	206920	
SMOC2	64094	6q27	chr6:168441151-168667994	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	125400	
SMS	6611	Xp22.11	chrX:21940573-21994837	3	Sufficient evidence for dosage pathogenicity	14508504	18550699	19206178	0	No evidence available				2012-08-23	309583	
SNAP29	9342	22q11.21	chr22:20859004-20891214	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	609528	
SNORD107	91380	15q11.2	chr15:24981994-24982068	0	No evidence available				0	No evidence available				2012-04-24		
SNORD108	338427	15q11.2	chr15:24986925-24986993	0	No evidence available				0	No evidence available				2012-07-06		
SNORD109B	338429	15q11.2	chr15:25278343-25278409	0	No evidence available				0	No evidence available				2012-04-28		
SNORD64	347686	15q11.2	chr15:24985100-24985166	0	No evidence available				0	No evidence available				2012-07-06		
SNORD8	319103	14q11.2	chr14:21397293-21397401	0	No evidence available				0	No evidence available				2015-03-11		
SNORD9	692053	14q11.2	chr14:21392151-21392253	0	No evidence available				0	No evidence available				2015-03-11		
SNRPN	6638	15q11.2	chr15:24823637-24978723	0	No evidence available				0	No evidence available				2012-10-26		
SNURF	8926	15q11.2	chr15:24954893-24978723	1	Little evidence for dosage pathogenicity	22511895			0	No evidence available				2012-09-06		
SOBP	55084	6q21	chr6:107490104-107661309	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613671	
SON	6651	21q22.11	chr21:33543038-33577514	3	Sufficient evidence for dosage pathogenicity	25590979	27256762	27545680	0	No evidence available				2019-04-24	617140	
SOS1	6654	2p22.1	chr2:38981549-39124959	0	No evidence available	21387466			0	No evidence available				2012-03-30		
SOST	50964	17q21.31	chr17:43753731-43758788	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-08-22		
SOX10	6663	22q13.1	chr22:37972312-37984532	3	Sufficient evidence for dosage pathogenicity	17999358	9462749	10077527	0	No evidence available				2013-07-18	613266,611584	
SOX11	6664	2p25.2	chr2:5692667-5701385	3	Sufficient evidence for dosage pathogenicity	18992374	26543203	24886874	0	No evidence available				2017-03-15	615866	
SOX2	6657	3q26.33	chr3:181711924-181714436	3	Sufficient evidence for dosage pathogenicity	17522144	16543359	12612584	0	No evidence available				2012-07-06	206900	
SOX5	6660	12p12.1	chr12:23529499-24562701	3	Sufficient evidence for dosage pathogenicity	22290657	23498568	23220431	0	No evidence available				2016-08-19	616803	
SOX6	55553	11p15.2	chr11:15966449-16476388	0	No evidence available				0	No evidence available				2012-03-22		
SOX8	30812	16p13.3	chr16:981808-986979	0	No evidence available			18492098	0	No evidence available				2012-02-22		
SOX9	6662	17q24.3	chr17:72121020-72126420	3	Sufficient evidence for dosage pathogenicity	7990924	8894698	8001137	0	No evidence available				2012-07-26	114290	
SPAST	6683	2p22.3	chr2:32063551-32157637	3	Sufficient evidence for dosage pathogenicity	24690193	28572275	15667412	0	No evidence available				2019-09-25	182601	
SPATA7	55812	14q31.3	chr14:88385638-88470350	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	604232	
SPEG	10290	2q35	chr2:219434215-219493632	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615959	
SPEN	23013	1p36.21-p36.13	chr1:15847864-15940455	1	Little evidence for dosage pathogenicity	25363768	27525107	28135719	0	No evidence available				2019-03-27		
SPG21	51324	15q22.31	chr15:64963021-64989946	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SPG7	6687	16q24.3	chr16:89508379-89557768	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	607259	
SPINK1	6690	5q32	chr5:147824580-147839231	2	Some evidence for dosage pathogenicity	19287144	16823394	15528018	0	No evidence available				2011-11-17		
SPINK5	11005	5q32	chr5:148063972-148137362	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SPP2	6694	2q37.1	chr2:234050671-234077134	0	No evidence available				0	No evidence available				2019-02-27		
SPRED1	161742	15q14	chr15:38252087-38357249	3	Sufficient evidence for dosage pathogenicity	17704776	19443465		0	No evidence available				2013-03-14	611431	
SRCAP	10847	16p11.2	chr16:30699141-30740129	1	Little evidence for dosage pathogenicity	28263302	25363768		0	No evidence available				2018-05-31		
SRD5A2	6716	2p23.1	chr2:31522486-31665651	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-08-22	264600	
SRPX2	27286	Xq22.1	chrX:100644166-100671299	0	No evidence available				0	No evidence available				2012-07-25		
SRY	6736	Yp11.2	chrY:2786855-2787741	3	Sufficient evidence for dosage pathogenicity	1639410	1339396	7987333	0	No evidence available				2012-04-19	400045,400044	
ST14	6768	11q24.3	chr11:130159787-130210362	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	602400	
ST3GAL5	8869	2p11.2	chr2:85839148-85889034	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-09-25	609056	
STAT1	6772	2q32.2	chr2:190969036-191014250	0	No evidence available				0	No evidence available				2013-09-18		
STIL	6491	1p33	chr1:47250139-47314787	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612703	
STK11	6794	19p13.3	chr19:1205799-1228435	3	Sufficient evidence for dosage pathogenicity	2563227	20623358		0	No evidence available				2015-11-20	175200	
STRC	161497	15q15.3	chr15:43599243-43619669	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	603720	
STS	412	Xp22.31	chrX:7147252-7354643	3	Sufficient evidence for dosage pathogenicity	2813406	10692123	9252398	0	No evidence available				2018-09-13	308100	
STT3A	3703	11q24.2	chr11:125592795-125622759	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-08-29	615596	
STUB1	10273	16p13.3	chr16:680111-682768	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615768	
STX11	8676	6q24.2	chr6:144140044-144191939	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	603552	
STXBP1	6812	9q34.11	chr9:127612207-127692716	3	Sufficient evidence for dosage pathogenicity	19557857	23409955		0	No evidence available				2013-06-20	612164	
SUCLG1	8802	2p11.2	chr2:84423523-84459462	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	245400	
SUMF1	285362	3p26.1	chr3:4034714-4467282	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	272200	
SUPT16H	11198	14q11.2	chr14:21351472-21384266	0	No evidence available				0	No evidence available				2012-05-09		
SURF1	6834	9q34.2	chr9:133351805-133356485	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
SUZ12	23512	17q11.2	chr17:31937010-32001045	0	No evidence available				0	No evidence available				2012-07-06		
SYN1	6853	Xp11.3-p11.23	chrX:47571901-47619857	2	Some evidence for dosage pathogenicity	14985377	21441247		0	No evidence available				2018-09-26	300491	
SYNE4	163183	19q13.12	chr19:36003299-36008793	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615540	
SYNGAP1	8831	6p21.32	chr6:33420070-33453689	3	Sufficient evidence for dosage pathogenicity	19196676	21237447	20683986	0	No evidence available				2012-07-06	612621	
SYP	6855	Xp11.23	chrX:49187812-49200202	1	Little evidence for dosage pathogenicity	19377476			0	No evidence available				2018-09-26	300802	
SYT14	255928	1q32.2	chr1:209938165-210171315	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614229	
TAB2	23118	6q25.1	chr6:149217924-149411613	1	Little evidence for dosage pathogenicity	27452334	28464518	31959127	0	No evidence available				2020-05-27	614980	
TACSTD2	4070	1p32.1	chr1:58575423-58577494	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	204870	
TAF13	6884	1p13.3	chr1:109064376-109076002	1	Little evidence for dosage pathogenicity	24463507			0	No evidence available				2019-05-22		
TAF2	6873	8q24.12	chr8:119730774-119832858	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615599	
TARDBP	23435	1p36.22	chr1:11012622-11030528	0	No evidence available	19959528	18931000		0	No evidence available				2018-09-25		
TBC1D20	128637	20p13	chr20:435477-462553	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615663	
TBC1D5	9779	3p24.3	chr3:17157162-17742739	0	No evidence available				0	No evidence available				2015-10-30		
TBCE	6905	1q42.3	chr1:235367360-235448968	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-05-17		
TBL1XR1	79718	3q26.32	chr3:177019355-177197357	3	Sufficient evidence for dosage pathogenicity	22495309	25425123	26740553	1	Little evidence for dosage pathogenicity	28574232			2019-03-27	616944	
TBR1	10716	2q24.2	chr2:161416094-161425867	3	Sufficient evidence for dosage pathogenicity	24458984	25849321	23160955	0	No evidence available				2018-01-24		
TBX1	6899	22q11.21	chr22:19756703-19783593	2	Some evidence for dosage pathogenicity	14585638	16684884		0	No evidence available				2012-03-22	217095,192430,188400	
TBX2	6909	17q23.2	chr17:61399896-61409466	1	Little evidence for dosage pathogenicity	28372585			0	No evidence available				2018-08-08		
TBX20	57057	7p14.2	chr7:35199936-35254100	1	Little evidence for dosage pathogenicity	17668378			0	No evidence available				2013-04-26		
TBX22	50945	Xq21.1	chrX:80014730-80035828	3	Sufficient evidence for dosage pathogenicity	11559848	17868388		0	No evidence available				2016-03-24	303400	
TBX3	6926	12q24.21	chr12:114670254-114684164	3	Sufficient evidence for dosage pathogenicity	12116211	10330342		0	No evidence available				2012-03-22	181450	
TBX4	9496	17q23.2	chr17:61452418-61485110	3	Sufficient evidence for dosage pathogenicity	15106123	23592887	29120062	0	No evidence available				2019-12-11	147891	
TBX5	6910	12q24.21	chr12:114353911-114408708	3	Sufficient evidence for dosage pathogenicity	8988164	8988165	12818525	0	No evidence available				2012-02-23	142900	
TCEB3C	162699	18q21.1	chr18:47028202-47030078	0	No evidence available				0	No evidence available				2012-02-22		
TCF12	6938	15q21.3	chr15:56918090-57291261	3	Sufficient evidence for dosage pathogenicity	23354436	25271085		0	No evidence available				2015-10-15	615314	
